start_minute_of_day,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
0,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
15,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
30,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
45,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
60,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
75,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
90,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
105,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
120,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
135,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
150,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
165,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
180,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
195,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
210,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
225,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
240,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
255,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
270,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
285,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
300,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
315,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
330,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
345,650,650,650,1500,1500,1500,1500,1500,1500,650,650,650
360,650,650,650,1137,1500,1500,1500,1500,1500,650,650,650
375,650,650,650,1137,1500,1500,1500,1500,1500,650,650,650
390,650,650,650,1137,1500,1500,1500,1500,1500,650,650,650
405,650,650,650,1137,1500,1500,1500,1500,1500,650,650,650
420,650,650,650,611,1219,1500,1500,1500,1500,650,650,650
435,650,650,650,611,1219,1500,1500,1500,1500,650,650,650
450,650,650,650,611,1219,1500,1500,1500,1500,650,650,650
465,650,650,650,611,1219,1500,1500,1500,1500,650,650,650
480,650,650,650,465,818,1500,1500,1500,1346,650,650,650
495,650,650,650,465,818,1500,1500,1500,1346,650,650,650
510,650,650,650,465,818,1500,1500,1500,1346,650,650,650
525,650,650,650,465,818,1500,1500,1500,1346,650,650,650
540,650,650,650,450,649,1407,1500,1500,964,650,650,650
555,650,650,650,450,649,1407,1500,1500,964,650,650,650
570,650,650,650,450,649,1407,1500,1500,964,650,650,650
585,650,650,650,450,649,1407,1500,1500,964,650,650,650
600,650,650,650,450,629,913,1500,1500,469,650,650,650
615,650,650,650,450,629,913,1500,1500,469,650,650,650
630,650,650,650,450,629,913,1500,1500,469,650,650,650
645,650,650,650,450,629,913,1500,1500,469,650,650,650
660,650,650,650,450,669,844,1500,1500,450,650,650,650
675,650,650,650,450,669,844,1500,1500,450,650,650,650
690,650,650,650,450,669,844,1500,1500,450,650,650,650
705,650,650,650,450,669,844,1500,1500,450,650,650,650
720,650,650,650,450,742,914,1500,1500,450,650,650,650
735,650,650,650,450,742,914,1500,1500,450,650,650,650
750,650,650,650,450,742,914,1500,1500,450,650,650,650
765,650,650,650,450,742,914,1500,1500,450,650,650,650
780,650,650,650,450,910,944,1500,1500,450,650,650,650
795,650,650,650,450,910,944,1500,1500,450,650,650,650
810,650,650,650,450,910,944,1500,1500,450,650,650,650
825,650,650,650,450,910,944,1500,1500,450,650,650,650
840,650,650,650,763,1263,1124,1500,1500,450,650,650,650
855,650,650,650,763,1263,1124,1500,1500,450,650,650,650
870,650,650,650,763,1263,1124,1500,1500,450,650,650,650
885,650,650,650,763,1263,1124,1500,1500,450,650,650,650
900,650,650,650,1325,1343,1225,1500,1500,450,650,650,650
915,650,650,650,1325,1343,1225,1500,1500,450,650,650,650
930,650,650,650,1325,1343,1225,1500,1500,450,650,650,650
945,650,650,650,1325,1343,1225,1500,1500,450,650,650,650
960,650,650,650,1500,1383,1271,1500,1500,505,650,650,650
975,650,650,650,1500,1383,1271,1500,1500,505,650,650,650
990,650,650,650,1500,1383,1271,1500,1500,505,650,650,650
1005,650,650,650,1500,1383,1271,1500,1500,505,650,650,650
1020,650,650,650,1500,1469,1500,1500,1500,935,650,650,650
1035,650,650,650,1500,1469,1500,1500,1500,935,650,650,650
1050,650,650,650,1500,1469,1500,1500,1500,935,650,650,650
1065,650,650,650,1500,1469,1500,1500,1500,935,650,650,650
1080,650,650,650,1500,1500,1500,1500,1500,1015,650,650,650
1095,650,650,650,1500,1500,1500,1500,1500,1015,650,650,650
1110,650,650,650,1500,1500,1500,1500,1500,1015,650,650,650
1125,650,650,650,1500,1500,1500,1500,1500,1015,650,650,650
1140,650,650,650,1500,1500,1500,1500,1500,1219,650,650,650
1155,650,650,650,1500,1500,1500,1500,1500,1219,650,650,650
1170,650,650,650,1500,1500,1500,1500,1500,1219,650,650,650
1185,650,650,650,1500,1500,1500,1500,1500,1219,650,650,650
1200,650,650,650,1500,1500,1500,1500,1500,1416,650,650,650
