start_minute_of_day,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
0,333,368,457,800,800,800,800,800,800,385,333,333
60,333,342,447,800,800,800,800,800,800,527,333,333
120,333,363,472,800,800,800,800,800,800,684,333,333
180,333,381,474,800,800,800,800,800,800,550,333,333
240,333,472,530,800,800,800,800,800,800,453,333,333
300,373,526,333,800,800,800,800,800,800,567,333,333
360,672,765,353,607,800,800,800,800,800,463,333,618
420,853,832,333,326,650,800,800,800,800,333,333,770
480,883,731,333,267,436,800,800,800,718,333,333,643
540,661,493,333,267,346,750,800,800,515,333,333,457
600,385,333,333,333,419,609,1000,1000,333,333,333,333
660,374,333,333,333,446,563,1000,1000,333,333,333,333
720,333,333,333,333,495,609,1000,1000,333,333,333,333
780,333,333,333,333,607,629,1000,1000,333,333,333,333
840,538,602,613,509,842,749,1000,1000,333,333,333,469
900,857,876,931,795,805,735,900,900,300,373,359,727
960,967,953,993,900,829,763,900,900,303,471,561,742
1020,1000,1000,1000,900,882,900,900,900,561,534,791,1000
1080,1000,1000,1000,900,900,900,900,900,609,647,841,1000
1140,958,808,993,900,900,900,900,900,731,585,499,700
1200,717,610,804,900,900,900,900,900,849,467,333,453
1260,531,503,663,900,900,900,900,900,900,412,333,333
1320,371,462,564,900,900,900,900,900,900,333,333,333
1380,333,403,505,900,900,900,900,900,900,333,333,333
